"Proposal #","full proposal title","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","Project #","Created Date.x","Total Sponsor Costs","Sponsor Deadline","academic affairs","activity type","History Action Day and Comment","Actual_Submission_Date","Actual_Udr_Consid_Date","Actual_Funding_Date","Actual_Not_Funding_Date","Actual_Submission_FY","Actual_Udr_Consid_FY","Actual_Funding_FY","Actual_Not_Funding_FY","Created Date.y","Proposal_Creation_FY","Days_to_Submission","Days_to_Funding_From_Submission","Days_to_Non_Funding_From_Submission","Actual_Submission_Month_Year","College/Division","Actual_Submission_Quarter","Actual_Funding_Quarter","Sponsor_Type_Grouped","Sponsor_Category","Submission_Status","Submission_Count","Award_Count","Total_Submission_Count","Received_Total_Sponsor_Costs"
"24-0461-P0001","Evaluating the Economic Impact of Fremont County's 2021-23 Retail Sales Tax","Evaluating the Economic Impact of Fremont County's 2021-23 Retail Sales Tax","Alexander Specht","COB Centers for Excellence","Funded","ADD NEW",,"COB Centers for Excellence","10/2/2023","12/31/2023","New",,"24-0461",2023-10-03 09:58:12,18000,"10/5/2023 12:00:00 AM",,"Applied Research","10/5/2023 11:00:56 AM: updates to form >> 12/20/2023 04:38:20 PM: Have award. >> 12/20/2023 04:38:30 PM: Have FE award.",2023-12-20 16:38:20,,2023-12-20 16:38:30,,"FY2024",,"FY2024",,2023-10-03 09:58:12,"FY2024",79,0,,"December-2023","Business","Q2 FY2024","Q2 FY2024","Non-profit","Others","Funded",0,1,1,18000
"24-0462-P0001","Evaluating the Economic Impact of Williams’ MountainWest Overthrust Pipeline in Southwest Wyoming","Williams’ MountainWest Overthrust Pipeline","Alexander Specht","COB Centers for Excellence","Funded","ADD NEW",,"COB Centers for Excellence","9/18/2023","11/30/2023","New",,"24-0462",2023-10-03 10:26:06,20100,"10/5/2023 12:00:00 AM",,"Applied Research","10/5/2023 11:08:08 AM: Updating form. >> 12/20/2023 04:37:40 PM: Have award. >> 12/20/2023 04:37:52 PM: Have FE award.",2023-12-20 16:37:40,,2023-12-20 16:37:52,,"FY2024",,"FY2024",,2023-10-03 10:26:06,"FY2024",79,0,,"December-2023","Business","Q2 FY2024","Q2 FY2024","Business","Others","Funded",0,1,1,20100
"24-0463-P0001","SBIR Phase I: Boosting Industrial Biofermentation with Microbial Stem Cells","SBIR: Boosting Industrial Biofermentation with Microbial Stem Cells","Grant Robert Bowman","Molecular Biology","Funded","ASIMICA, Inc.","National Science Foundation","Molecular Biology","5/1/2023","4/30/2024",,,"24-0463",2023-10-03 15:06:24,70737,"10/1/2023 12:00:00 AM",,"Applied Research","11/21/2023 08:41:26 AM: Legacy. Greensheet. >> 11/21/2023 08:41:33 AM: Funded.",2023-11-21 08:41:26,,2023-11-21 08:41:33,,"FY2024",,"FY2024",,2023-10-03 15:06:24,"FY2024",49,0,,"November-2023","Agriculture","Q2 FY2024","Q2 FY2024","Federal","Others","Funded",0,1,1,70737
"24-0463-P0002","Microbial Stem Cell Technology (MiST) for High-Yield Terpene Biomanufacturing","SBIR: Boosting Industrial Biofermentation with Microbial Stem Cells","Grant Robert Bowman","Molecular Biology","Submitted to Sponsor","ASIMICA, Inc.","National Science Foundation","Molecular Biology","11/24/2025","11/25/2027","New",,"24-0463",2025-02-27 12:21:19,386216,"3/5/2025 12:00:00 AM",,"Applied Research","2/27/2025 05:04:08 PM: Updating sponsors
 >> 3/5/2025 03:54:52 PM: Subaward materials submitted to prime applicant",2025-03-05 15:54:52,,,,"FY2025",,,,2025-02-27 12:21:19,"FY2025",6,,,"March-2025","Agriculture","Q3 FY2025",,"Business","Others","Submitted",1,0,1,0
"24-0464-P0001","Prospective Memory in Everyday Life: Lapses and Decline in Relation to Inflammatory  and Neurodegenerative Biomarkers in Older Adults","Prospective Memory in Everyday Life: Lapses and Decline in Relation to Inflammatory  and Neurodegenerative Biomarkers in Older Adults","Erin Harrington","Psychology","Transfer","National Institute on Aging/National Institutes of Health/Department of Health and Human Services",,"Psychology","11/1/2023","1/31/2025","Transfer",,"24-0464",2023-10-03 16:00:27,306929,"10/11/2023 12:00:00 AM",,"Basic Research","10/6/2023 10:04:42 AM: via ASSIST >> 1/18/2024 04:25:52 PM: Funded.",2023-10-06 10:04:42,,2024-01-18 16:25:52,,"FY2024",,"FY2024",,2023-10-03 16:00:27,"FY2024",3,104,,"October-2023","Arts & Sciences","Q2 FY2024","Q3 FY2024","Federal","NIH","Funded",0,1,1,306929
"24-0465-P0001","Development of AI-Enhanced Electrospun Nanofiber Membranes for Rare Earth Recovery from Wastewater","Development of AI-Enhanced Electrospun Nanofiber Membranes for Rare Earth Recovery from Wastewater","Saman Aryana","Chemical & Biomedical Engineering","Not Funded","ADD NEW","U.S. Department of Energy","Chemical & Biomedical Engineering","6/1/2023","5/31/2024","New",,"24-0465",2023-10-04 16:24:21,41485.72,"10/10/2023 12:00:00 AM",,"Applied Research","10/10/2023 09:26:22 AM: Submitted to sponsor 10/10/23 >> 1/2/2025 03:58:11 PM: Assuming not funded, as it’s been over 12 months since submission with no updates.",2023-10-10 09:26:22,,,2025-01-02 15:58:11,"FY2024",,,"FY2025",2023-10-04 16:24:21,"FY2024",6,,450,"October-2023","Engineering","Q2 FY2024",,"Federal","Others","Submitted",1,0,1,0
"24-0466-P0001","Cooperative Extension Programs at 1862 Land-Grant Institutions (Smith-Lever Special Needs)","Cooperative Extension Programs Special Needs","Kelly Keith Crane","College of Agriculture, Life Sciences & Natural Resources Deans Office","Funded","National Institute of Food and Agriculture/Department of Agriculture",,"UW Extension","1/1/2024","12/31/2028","New",,"24-0466",2023-10-05 12:54:31,43951,"10/30/2023 12:00:00 AM",,"Other Sponsored Activity","10/13/2023 04:00:13 PM: More information needed. >> 10/23/2023 07:57:04 PM: Proposal submitted to sponsor 10/23/23 >> 2/21/2024 11:14:57 AM: Funded.",2023-10-23 19:57:04,,2024-02-21 11:14:57,,"FY2024",,"FY2024",,2023-10-05 12:54:31,"FY2024",19,121,,"October-2023","Agriculture","Q2 FY2024","Q3 FY2024","Federal","USDA-NIFA","Funded",0,1,1,43951
"24-0469-P0002","Developing Wyoming Field Guide Narratives for Wyoming’s Native Lizard and Turtle Species","Developing Wyoming Field Guide Narratives for Wyoming’s Native Reptile Species","Ian M. Abernethy","Wyo Natural Diversity Database","Funded","Wyoming Game and Fish Department",,"Wyo Natural Diversity Database","7/1/2025","6/30/2026","New",,"24-0469",2024-12-06 10:12:21,22400,"1/10/2025 12:00:00 AM",,"Other Sponsored Activity","1/2/2025 12:57:03 PM: update form fields >> 1/10/2025 11:06:43 AM: Submitted on 01/10/2025 by project team via email (see attached) >> 5/5/2025 03:38:35 PM: Award is in an active status and so I am updating the proposal to funded.",2025-01-10 11:06:43,,2025-05-05 15:38:35,,"FY2025",,"FY2025",,2024-12-06 10:12:21,"FY2025",35,115,,"January-2025","Research & Economic Development","Q3 FY2025","Q4 FY2025","State","Others","Funded",0,1,1,22400
"24-0470-P0001","MRI: Track 2 Acquisition of an Advanced Infrastructure To Accelerate Impact of AI Through Applications and Innovation For Wyoming and Colorado (AI4WYCO)","MRI: Track 2 Acquisition of an Advanced Infrastructure To Accelerate Impact of AI Through Applications and Innovation For Wyoming (AI4WY)","Andrew Christopher Kirby","School of Computing","Funded","National Science Foundation",,"School of Computing","6/1/2024","5/31/2027","New",,"24-0470",2023-10-05 18:38:33,3894209,"11/15/2023 12:00:00 AM",,"Other Sponsored Activity","11/15/2023 01:25:29 PM: we did it >> 8/27/2024 09:10:08 AM: NOA Received.",2023-11-15 13:25:29,,2024-08-27 09:10:08,,"FY2024",,"FY2025",,2023-10-05 18:38:33,"FY2024",41,286,,"November-2023","Engineering","Q2 FY2024","Q1 FY2025","Federal","NSF","Funded",0,1,1,3894209
"24-0472-P0001","Water Justice and Technology Project","Water Justice and Technology","Matthew S Henry","Honors College","Closed","National Endowment for the Humanities",,"Honors College","6/1/2024","5/31/2026","New",,"24-0472",2023-10-08 19:57:40,149939,"10/11/2023 12:00:00 AM",TRUE,"Applied Research","1/11/2024 04:25:26 PM: Submitted 10/11/2023 >> 5/31/2024 12:23:15 PM: Notified by Sponsor they intend to fund. But need to name a new PI since Henry is no longer with UW. UW was unsuccessful in identifying a new PI for this award that was acceptable by the research team. >> 5/31/2024 12:25:03 PM: Proposal was accepted for an award by the Sponsor, but since UW was unable to identify a new PI (due to the departure of the original PI) we relinquished our rights to the proposal. For reporting purposes, closing out as funded, project complete since it was a proposal that was selected for funding.",2024-01-11 16:25:26,2024-05-31 12:23:15,2024-05-31 12:25:03,,"FY2024","FY2024","FY2024",,2023-10-08 19:57:40,"FY2024",95,141,,"January-2024","Academic Affairs","Q3 FY2024","Q4 FY2024","Federal","Others","Funded",0,1,1,149939
"24-0473-P0001","Investigating the Effect of Forestry Management Practices on Bat Habitat Selection and Use in a Fire Prone Ecosystem","Investigating the Effect of Forestry Management Practices on Bat Habitat Selection and Use in a Fire Prone Ecosystem","Riley Fehr Bernard","Zoology & Physiology","Funded","Bureau of Land Management/Department of the Interior",,"Zoology & Physiology","5/13/2024","12/31/2027","New",,"24-0473",2023-10-09 11:52:15,323664.82,"3/18/2024 12:00:00 AM",,"Applied Research","10/20/2023 10:12:01 AM: per review edits >> 3/12/2024 08:17:28 AM: add budget attch
 >> 3/18/2024 12:17:15 PM: see submission confirmation >> 9/23/2024 08:37:10 AM: Funded.",2024-03-18 12:17:15,,2024-09-23 08:37:10,,"FY2024",,"FY2025",,2023-10-09 11:52:15,"FY2024",161,189,,"March-2024","Agriculture","Q3 FY2024","Q1 FY2025","Federal","Others","Funded",0,1,1,323664.82
"24-0474-P0001","Engineering Subsurface Hydrogen Reservoirs with Laponite Suspensions","Engineering Subsurface Hydrogen Reservoirs with Laponite Suspensions","Saman Aryana","Chemical & Biomedical Engineering","Not Funded","U.S. Department of Energy",,"School of Energy Resources Directors Office","4/1/2024","3/30/2026","New",,"24-0474",2023-10-09 15:44:26,2499816,"10/24/2023 12:00:00 AM",,"Basic Research","10/23/2023 04:45:15 PM: Submitted to Sponsor 10/23/23 PM. >> 10/24/2023 10:10:55 AM: Updates needed to in-direct cost; will move back to submitted to sponsor post updates. >> 10/24/2023 10:11:32 AM: Updates needed, please see last remarks. >> 10/24/2023 10:12:47 AM: Previously submitted to sponsor, updates needed to IDC page. >> 2/7/2024 10:33:45 AM: Please see attached declination letter",2023-10-23 16:45:15,,,2024-02-07 10:33:45,"FY2024",,,"FY2024",2023-10-09 15:44:26,"FY2024",14,,107,"October-2023","School of Energy Resources","Q2 FY2024",,"Federal","DOE","Submitted",1,0,1,0
"24-0475-P0001","CATALYST-ENHANCED, SUSTAINABLE H2 PRODUCTION FROM FE-RICH ROCKS: AN EXPERIMENTAL AND QUANTITATIVE RESOURCE ASSESSMENT","CATALYST-ENHANCED, SUSTAINABLE H2 PRODUCTION FROM FE-RICH ROCKS: AN EXPERIMENTAL AND QUANTITATIVE RESOURCE ASSESSMENT","Charles W. Nye","School of Energy Resources Directors Office","Funded","University of Texas, Austin","U.S. Department of Energy","School of Energy Resources Directors Office","4/1/2024","3/30/2026","New",,"24-0475",2023-10-10 09:08:16,649822,"10/17/2023 12:00:00 AM",,"Basic Research","10/20/2023 08:09:44 AM: Submitted >> 3/6/2024 01:15:08 PM: See email in main dated 02/27/2024 >> 9/11/2024 01:55:24 PM: Funded.",2023-10-20 08:09:44,2024-03-06 13:15:08,2024-09-11 13:55:24,,"FY2024","FY2024","FY2025",,2023-10-10 09:08:16,"FY2024",10,327,,"October-2023","School of Energy Resources","Q2 FY2024","Q1 FY2025","Federal","Others","Funded",0,1,1,649822
"24-0476-P0001","Combining data streams across scales to investigate threats to caribou in a rapidly changing Artctic","Combining data streams across scales to investigate threats to caribou in a rapidly changing Arctic","Ellen Overton Aikens","School of Computing","Not Funded","National Science Foundation",,"School of Computing","9/1/2024","8/31/2029","New",,"24-0476",2023-10-10 16:15:06,396871,"12/5/2023 12:00:00 AM",,"Basic Research","12/8/2023 02:33:22 PM: Submitted the UW portion of the collaborative proposal on 12/8/2023 at 2:30pm.  Confirmed submission with PI. >> 6/26/2024 08:03:00 AM: Not funded per Sponsor correspondence.",2023-12-08 14:33:22,,,2024-06-26 08:03:00,"FY2024",,,"FY2024",2023-10-10 16:15:06,"FY2024",59,,201,"December-2023","Engineering","Q2 FY2024",,"Federal","NSF","Submitted",1,0,1,0
"24-0477-P0001","Extension of CRYOCHEM (equation of state for fluid and solid solutions) with essential molecules relevant to extraterrestrial conditions","Extension of CRYOCHEM (equation of state for fluid and solid solutions) with essential molecules relevant to planetary conditions","Hertanto Adidharma","Energy & Petroleum Engineering","Not Funded","Planetary Science Institute","National Science Foundation","Energy & Petroleum Engineering","6/1/2024","5/31/2027","New",,"24-0477",2023-10-11 15:20:47,242648,"11/1/2023 12:00:00 AM",,"Basic Research","10/20/2023 01:21:21 PM: Submitted to sponsor 10/20/23 >> 5/14/2025 04:18:07 PM: No evidence of ongoing work on this.",2023-10-20 13:21:21,,,2025-05-14 16:18:07,"FY2024",,,"FY2025",2023-10-11 15:20:47,"FY2024",9,,572,"October-2023","Engineering","Q2 FY2024",,"Federal","Others","Submitted",1,0,1,0
"24-0478-P0001","RI: Small: Collaborative Research: Closing the Loops For Algorithm Selection using XAI","RI: Small: Collaborative Research: Closing the Loops For Algorithm Selection using XAI","Lars Kotthoff","Electrical Engineering & Computer Science","Not Funded","National Science Foundation",,"Electrical Engineering & Computer Science","6/1/2024","5/31/2027","New",,"24-0478",2023-10-11 15:53:52,299974,"11/20/2023 12:00:00 AM",,"Basic Research","12/12/2023 12:31:32 PM: proposal was submitted to sponsor 12/12/23 >> 7/30/2024 08:44:37 AM: Not funded per notice from Sponsor 7/29/2024.",2023-12-12 12:31:32,,,2024-07-30 08:44:37,"FY2024",,,"FY2025",2023-10-11 15:53:52,"FY2024",62,,231,"December-2023","Engineering","Q2 FY2024",,"Federal","NSF","Submitted",1,0,1,0
"24-0479-P0001","Changes in Beef Production and Rangelands, and Community Cohesion and Ecosystem Service Values","Changes in Beef Production and Rangelands, and Effects on Community Cohesion and Ecosystem Service Values","Kristie Anne Maczko","Ecosystem Science & Management","Funded","National Cattlemen's Beef Association",,"Ecosystem Science & Management","1/2/2024","9/30/2024","New",,"24-0479",2023-10-11 16:07:40,10000,"10/13/2023 12:00:00 AM",,"Applied Research","10/18/2023 03:13:27 PM: Submitted by PI >> 1/3/2024 02:15:49 PM: Award for review received 1/2/24 >> 2/9/2024 10:54:31 AM: Funded.",2023-10-18 15:13:27,2024-01-03 14:15:49,2024-02-09 10:54:31,,"FY2024","FY2024","FY2024",,2023-10-11 16:07:40,"FY2024",7,114,,"October-2023","Agriculture","Q2 FY2024","Q3 FY2024","Non-profit","Others","Funded",0,1,1,10000
"24-0482-P0001","McIntire-Stennis Cooperative Forestry Research Program, FY24","McIntire-Stennis Capacity","Eric P Webster","Agricultural Experiment Station","Funded","National Institute of Food and Agriculture/Department of Agriculture",,"Agricultural Experiment Station","10/1/2023","9/30/2024","New",,"24-0482",2023-10-12 10:11:04,256424,"10/25/2023 12:00:00 AM",,"Other Sponsored Activity","10/13/2023 10:16:19 AM: see email >> 10/18/2023 11:06:14 AM: via S2S
 >> 10/18/2023 01:36:25 PM: Received the notice of denial for funding on 10/18/2023 >> 10/23/2023 03:28:11 PM: Moved to closed status in error. >> 10/23/2023 03:28:25 PM: Submitted to Sponsor. >> 2/22/2024 03:07:00 PM: Funded.",2023-10-23 15:28:25,,2024-02-22 15:07:00,2023-10-18 13:36:25,"FY2024",,"FY2024","FY2024",2023-10-12 10:11:04,"FY2024",11,122,-5,"October-2023","Agriculture","Q2 FY2024","Q3 FY2024","Federal","USDA-NIFA","Funded",0,1,1,256424
"24-0482-P0002","McIntire-Stennis Cooperative Forestry Research Program, FY25","McIntire-Stennis Capacity","Eric P Webster","Agricultural Experiment Station","Funded","National Institute of Food and Agriculture/Department of Agriculture",,"Agricultural Experiment Station","10/1/2024","9/30/2025","Competing Continuation",,"24-0482",2024-09-25 03:01:43,255757,"9/30/2024 12:00:00 AM",,"Other Sponsored Activity","9/27/2024 08:49:52 AM: Submitted on 09/27/2024.  Tracking number GRANT14261452 >> 1/16/2025 01:05:59 PM: NOA rec'd.",2024-09-27 08:49:52,,2025-01-16 13:05:59,,"FY2025",,"FY2025",,2024-09-25 03:01:43,"FY2025",2,111,,"September-2024","Agriculture","Q1 FY2025","Q3 FY2025","Federal","USDA-NIFA","Funded",0,1,1,255757
"24-0483-P0001","Animal Health and Disease Research Capacity FY24","Animal Health and Disease Research Capacity","Eric P Webster","Agricultural Experiment Station","Funded","National Institute of Food and Agriculture/Department of Agriculture",,"Agricultural Experiment Station","10/1/2023","9/30/2024","New",,"24-0483",2023-10-12 10:12:53,20385,"10/30/2023 12:00:00 AM",,"Other Sponsored Activity","10/13/2023 10:04:50 AM: see email >> 10/17/2023 11:04:23 AM: via S2S >> 7/19/2024 08:19:28 AM: Funded.",2023-10-17 11:04:23,,2024-07-19 08:19:28,,"FY2024",,"FY2025",,2023-10-12 10:12:53,"FY2024",5,276,,"October-2023","Agriculture","Q2 FY2024","Q1 FY2025","Federal","USDA-NIFA","Funded",0,1,1,20385
"24-0483-P0002","FY2025 Animal Health and Disease Research","Animal Health and Disease Research Capacity","Eric P Webster","Agricultural Experiment Station","Funded","National Institute of Food and Agriculture/Department of Agriculture",,"Agricultural Experiment Station","10/1/2024","9/30/2025","Competing Continuation",,"24-0483",2024-09-25 03:29:39,18804,"9/30/2024 12:00:00 AM",,"Basic Research","9/27/2024 08:57:11 AM: Submitted to sponsor on 09/27/2024 GRANT14261457 >> 12/18/2024 02:33:49 PM: Funded.",2024-09-27 08:57:11,,2024-12-18 14:33:49,,"FY2025",,"FY2025",,2024-09-25 03:29:39,"FY2025",2,82,,"September-2024","Agriculture","Q1 FY2025","Q2 FY2025","Federal","USDA-NIFA","Funded",0,1,1,18804
"24-0484-P0001","The Hatch Act of 1887 (Regular Research Fund), FY24","Hatch-Regular Capacity","Eric P Webster","Agricultural Experiment Station","Funded","National Institute of Food and Agriculture/Department of Agriculture",,"Agricultural Experiment Station","10/1/2023","9/30/2024","New",,"24-0484",2023-10-12 10:15:23,1363034,"10/25/2023 12:00:00 AM",,"Other Sponsored Activity","10/13/2023 10:14:21 AM: see email >> 10/18/2023 11:05:00 AM: via S2S >> 2/23/2024 10:14:33 AM: Funded.",2023-10-18 11:05:00,,2024-02-23 10:14:33,,"FY2024",,"FY2024",,2023-10-12 10:15:23,"FY2024",6,128,,"October-2023","Agriculture","Q2 FY2024","Q3 FY2024","Federal","USDA-NIFA","Funded",0,1,1,1363034
"24-0484-P0002","FY2025 The Hatch Act of 1887 (Regular Research Fund)","Hatch-Regular Capacity","Eric P Webster","Agricultural Experiment Station","Funded","National Institute of Food and Agriculture/Department of Agriculture",,"Agricultural Experiment Station","10/1/2024","9/30/2025","Competing Continuation",,"24-0484",2024-09-25 02:16:10,1358635,"9/30/2024 12:00:00 AM",,"Basic Research","9/27/2024 08:33:30 AM: Submitted 09/27/2024 at 8:33am  Tracking number  GRANT14261433 >> 1/6/2025 09:11:20 AM: Funded.",2024-09-27 08:33:30,,2025-01-06 09:11:20,,"FY2025",,"FY2025",,2024-09-25 02:16:10,"FY2025",3,101,,"September-2024","Agriculture","Q1 FY2025","Q3 FY2025","Federal","USDA-NIFA","Funded",0,1,1,1358635
"24-0485-P0001","The Hatch Act of 1887 (Multistate Research Fund), FY24","Hatch-Multistate Capacity","Eric P Webster","Agricultural Experiment Station","Funded","National Institute of Food and Agriculture/Department of Agriculture",,"Agricultural Experiment Station","10/1/2023","9/30/2024","New",,"24-0485",2023-10-12 10:17:08,771511,"10/30/2023 12:00:00 AM",,"Other Sponsored Activity","10/13/2023 10:14:00 AM: see email >> 10/17/2023 11:03:48 AM: via S2S >> 2/21/2024 08:36:55 AM: Funded.",2023-10-17 11:03:48,,2024-02-21 08:36:55,,"FY2024",,"FY2024",,2023-10-12 10:17:08,"FY2024",5,127,,"October-2023","Agriculture","Q2 FY2024","Q3 FY2024","Federal","USDA-NIFA","Funded",0,1,1,771511
"24-0485-P0002","The Hatch Act of 1887 (Multistate Research Fund), FY25","Hatch-Multistate Capacity","Eric P Webster","Agricultural Experiment Station","Funded","National Institute of Food and Agriculture/Department of Agriculture",,"Agricultural Experiment Station","10/1/2024","9/30/2025","Competing Continuation",,"24-0485",2024-08-22 15:00:37,774148,"9/30/2024 12:00:00 AM",,"Basic Research","9/27/2024 08:27:35 AM: Submitted 09/27/2024 at 8:30am  Tracking Number GRANT14261428 >> 12/12/2024 09:14:56 AM: Funded.",2024-09-27 08:27:35,,2024-12-12 09:14:56,,"FY2025",,"FY2025",,2024-08-22 15:00:37,"FY2025",36,76,,"September-2024","Agriculture","Q1 FY2025","Q2 FY2025","Federal","USDA-NIFA","Funded",0,1,1,774148
"24-0488-P0001","Relation of individual differences in fMRI-Assessed Satiation Signaling to Obesity Risk and Future Weight Gain","Relation of individual differences in fMRI-Assessed Satiation Signaling to Obesity Risk and Future Weight Gain","Grace Elisabeth Shearrer","Family & Consumer Sciences","Funded","University of North Carolina, Chapel Hill","National Institutes of Health/Department of Health and Human Services","Family & Consumer Sciences","7/15/2023","5/30/2024","Resubmission",,"24-0488",2023-10-13 10:45:31,22200,"7/3/2023 12:00:00 AM",,"Basic Research","10/27/2023 10:37:54 AM: Updates needed to proposal form, project is under consideration and budget revised for $22,200 >> 11/7/2023 08:46:49 AM: Legacy. No Greensheet. >> 11/7/2023 08:47:15 AM: Funded.",2023-11-07 08:46:49,,2023-11-07 08:47:15,,"FY2024",,"FY2024",,2023-10-13 10:45:31,"FY2024",25,0,,"November-2023","Agriculture","Q2 FY2024","Q2 FY2024","Others","Others","Funded",0,1,1,22200
"24-0489-P0001","Collaborative Research: Building Teacher Capacity to Apply an Equity-Oriented Systems Lens for Making Sense of Phenomena and Designing Solutions for Socioscientific Issues","Building Teacher Capacity to Apply an Equity-Oriented Systems Lens for Making Sense of Phenomena and Designing Solutions for Socioscientific Issues","Emanuel Eidin","School of Teacher Education","Not Funded","National Science Foundation",,"School of Teacher Education","7/1/2024","7/1/2027","New",,"24-0489",2023-10-13 14:00:29,575758,"11/8/2023 12:00:00 AM",,"Basic Research","11/7/2023 10:18:03 AM: Proposal Submitted to sponsor 11/7/23 >> 5/3/2024 08:14:11 AM: Not funded per notice from Sponsor 5/2/2024.",2023-11-07 10:18:03,,,2024-05-03 08:14:11,"FY2024",,,"FY2024",2023-10-13 14:00:29,"FY2024",25,,178,"November-2023","Education","Q2 FY2024",,"Federal","NSF","Submitted",1,0,1,0
"24-0490-P0002","Humanities Summit","Humanities Speaker's Series","Scott Henkel","Research & Economic Development Division","Not Funded","National Endowment for the Humanities",,"Wyoming Institute for Humanities","8/18/2025","8/17/2026","Resubmission",,"24-0490",2024-09-23 16:03:23,29881.23,"10/1/2024 12:00:00 AM",,"Other Sponsored Activity","10/1/2024 02:56:56 PM: Submitted on 10/1/2024 at 2:50pm  Grants.gov tracking GRANT14264413 >> 5/23/2025 12:56:09 PM: Email notification 5/5/2025.",2024-10-01 14:56:56,,,2025-05-23 12:56:09,"FY2025",,,"FY2025",2024-09-23 16:03:23,"FY2025",8,,234,"October-2024","Research & Economic Development","Q2 FY2025",,"Federal","Others","Submitted",1,0,1,0
"24-0492-P0001","Empowering Girls in Herpetology Conservation","Youth in Herpetology Conservation","Mason Lee","Biodiversity Institute","Funded","Wyoming Wildlife Foundation",,"Biodiversity Institute","8/19/2024","12/18/2024","New",,"24-0492",2023-10-16 11:14:42,4997.85,"11/1/2023 12:00:00 AM",,"Instruction","11/15/2023 01:25:49 PM: we did it >> 1/10/2024 04:21:22 PM: award agreement recieved >> 1/12/2024 12:56:06 PM: Award has been approved and received. 
",2023-11-15 13:25:49,2024-01-10 16:21:22,2024-01-12 12:56:06,,"FY2024","FY2024","FY2024",,2023-10-16 11:14:42,"FY2024",30,58,,"November-2023","Research & Economic Development","Q2 FY2024","Q3 FY2024","Non-profit","Others","Funded",0,1,1,4997.85
"24-0496-P0001","A novel role for myocardial citrullination in the aging female heart","A novel role for myocardial citrullination in the aging female heart","Danielle R Bruns","Kinesiology & Health","Not Funded","ADD NEW",,"Kinesiology & Health","12/31/2023","12/31/2026","New",,"24-0496",2023-10-17 08:14:02,375000,"11/17/2023 12:00:00 AM",,"Basic Research","11/8/2023 04:07:22 PM: Updates for IDC. >> 11/18/2023 09:43:30 AM: Submitted to sponsor 11/17/23 >> 2/6/2025 01:41:52 PM: Not Funded",2023-11-18 09:43:30,,,2025-02-06 13:41:52,"FY2024",,,"FY2025",2023-10-17 08:14:02,"FY2024",32,,446,"November-2023","Health Sciences","Q2 FY2024",,"Others","Others","Submitted",1,0,1,0
"24-0498-P0001","Understanding dynamics of brain network in TDP-43 related neurodegeneration","Understanding dynamics of brain network in TDP-43 related neurodegeneration","Yun Li","Zoology & Physiology","Not Funded","University of Maryland","National Institute on Aging/National Institutes of Health/Department of Health and Human Services","Zoology & Physiology","7/1/2024","6/30/2026","Resubmission",,"24-0498",2023-10-18 14:55:55,23878,"10/27/2023 12:00:00 AM",,"Basic Research","10/19/2023 07:54:07 AM: Updates needed to key personnel tab >> 10/24/2023 11:35:14 AM: Reviewing, edits needed
 >> 10/27/2023 10:19:53 AM: submitted 10-26 >> 1/2/2025 04:57:20 PM: Assuming not funded, as it’s been over 12 months since submission with no updates.",2023-10-27 10:19:53,,,2025-01-02 16:57:20,"FY2024",,,"FY2025",2023-10-18 14:55:55,"FY2024",9,,433,"October-2023","Agriculture","Q2 FY2024",,"Federal","Others","Submitted",1,0,1,0
"24-0499-P0001","Mechanisms of circadian control by the cardiac molecular clock","Mechanisms of circadian control by the cardiac molecular clock","Danielle R Bruns","Kinesiology & Health","Not Funded","National Heart, Lung, and Blood Institute/National Institutes of Health/Department of Health and Human Services",,"Kinesiology & Health","7/1/2024","6/30/2029","Resubmission",,"24-0499",2023-10-18 18:57:09,1947004,"11/3/2023 12:00:00 AM",,"Basic Research","11/7/2023 09:39:46 AM: 11/03/2023 >> 1/17/2025 01:29:27 PM: Per Farrell email on 12/10/2024.",2023-11-07 09:39:46,,,2025-01-17 13:29:27,"FY2024",,,"FY2025",2023-10-18 18:57:09,"FY2024",20,,437,"November-2023","Health Sciences","Q2 FY2024",,"Federal","NIH","Submitted",1,0,1,0
"24-0500-P0001","Rainbows on the Horizon: Understanding the Dynamics of Integrated Climate, River, Trout, and Tourism Systems in the Mountain West","Rainbows on the Horizon: Understanding the Dynamics of Integrated Climate, River, Trout, and Tourism Systems in the Mountain West","Kelly Heber Dunning","Haub School of Environment & Natural Resources","Funded","National Science Foundation",,"Haub School of Environment & Natural Resources","11/1/2024","10/31/2027","New",,"24-0500",2023-10-20 07:03:59,749851.16,"11/16/2023 12:00:00 AM",,"Applied Research","10/31/2023 10:00:31 AM: Amendments made to proposal >> 11/16/2023 09:53:36 AM: Submitted to sponsor 11/16/23 >> 7/10/2024 04:12:10 PM: Call from  PI.  Proposal is being recommended for funding.  PI is updating budget per PO recommendations >> 8/16/2024 10:47:09 AM: Funded.",2023-11-16 09:53:36,2024-07-10 16:12:10,2024-08-16 10:47:09,,"FY2024","FY2025","FY2025",,2023-10-20 07:03:59,"FY2024",27,274,,"November-2023","Haub School of Environment & Natural Resources","Q2 FY2024","Q1 FY2025","Federal","NSF","Funded",0,1,1,749851.16
