"Award #","Project Title","Award Title","PI","PI Unit","Award Amount","Award Id","Award Notice Received","Increment Amount","Modification Number","Modification Type","Modification Date","Modified By","sponsor type","activity type","Increment_Amount_Obliged","History Action Date Parsed","Sponsor","Prime Sponsor","Instrument Type","Award Start Date","Award End Date","Admin Unit","Obligated Amount","Project #","Total Expected Amount","Anticipated Amount","Status","Created Date","Award Type","Award_Start_Month_Year","College/Division"
"23-1476-A0001-0","FY23 5339 Capital Assistance - Shop Equipment Purchase",,"Paul W. Kunkel","Transportation Services",,"0f0a83a8-4a15-4945-8fb0-e71f1999c8d6",,,0,"Original Award",,,"Wyoming State Governmental Entities","Other Sponsored Activity","  212400.00000000000000000000000",,"Wyoming Department of Transportation","Federal Transit Administration",,2023-02-07,"12/31/2025","Transportation Services",212400,"23-1476",,,"Active","4/24/2023 07:42:58 PM",,"'Feb-23","Campus Operations"
"23-1476-A0001-1","FY23 5339 Capital Assistance - Shop Equipment Purchase",,"Paul W. Kunkel","Transportation Services",,"0f0a83a8-4a15-4945-8fb0-e71f1999c8d6","11/11/2024",,1,"New Funding Increment","11/11/2024","Kristi Hargis Stockdale","Wyoming State Governmental Entities","Other Sponsored Activity","  183100.00000000000000000000000",2023-04-24 19:42:58,"Wyoming Department of Transportation","Federal Transit Administration",,2024-11-11,"12/31/2026","Transportation Services",395500,"23-1476",395500,,"Active","11/11/2024 01:39:17 PM",,"'Nov-24","Campus Operations"
"23-1478-A0001-0","Indigeneity in the Americas: Bahia, Brazil",,"Jessica Fae Nelson","Culture Gender & Social Justice",,"7d2bc1d3-3cb3-4aa2-bb00-a48160d90b7a","1/18/2023",,0,"Original Award",,,"Non-Profit Organizations","Other Sponsored Activity","   33981.45999999999912688508630",,"The World Learning, Inc.","Department of State",,2022-09-01,"8/31/2024","Culture Gender & Social Justice",33981.46,"23-1478",,,"Active","4/24/2023 07:43:05 PM",,"'Sep-22","Arts & Sciences"
"23-1481-A0001-0","Western Regional Noyce Network",,"Mike Borowczak","Electrical Engineering & Computer Science",,"2e39a31b-bd84-4309-ab14-918285618caa","1/6/2023",,0,"Original Award",,,,"Instruction","   50000.00000000000000000000000",,"University of Oregon","University of Oregon",,2022-10-01,"9/30/2023","Electrical Engineering & Computer Science",50000,"23-1481",,,"In Closeout","4/24/2023 07:43:14 PM",,"'Oct-22","Engineering"
"23-1482-A0001-0","Investigating the Contribution of the Coxiella Cell Wall to Intracellular Pathogenesis",,"Elizabeth Di Russo Case","Veterinary Science",,"87b5cd3f-379f-49dd-b84a-a851fb64c9f7","2/28/2023",,0,"Original Award",,,"U.S. Federal Government","Applied Research","  169243.00000000000000000000000",,"National Institute of Allergy and Infectious Diseases/National Institutes of Health/Department of Health and Human Services","National Institute of Allergy and Infectious Diseases/National Institutes of Health/Department of Health and Human Services",,2023-03-01,"2/26/2024","Veterinary Science",169243,"23-1482",,,"Active","4/24/2023 07:43:18 PM",,"'Mar-23","Agriculture"
"23-1482-A0001-1","Investigating the Contribution of the Coxiella Cell Wall to Intracellular Pathogenesis",,"Elizabeth Di Russo Case","Veterinary Science",,"87b5cd3f-379f-49dd-b84a-a851fb64c9f7","2/28/2023",,1,"New Funding Increment","2/26/2024","Kristi Hargis Stockdale","U.S. Federal Government","Applied Research","  182120.00000000000000000000000",,"National Institute of Allergy and Infectious Diseases/National Institutes of Health/Department of Health and Human Services","National Institute of Allergy and Infectious Diseases/National Institutes of Health/Department of Health and Human Services",,2024-02-26,"2/28/2025","Veterinary Science",351363,"23-1482",351363,,"Active","2/26/2024 08:58:27 AM",,"'Feb-24","Agriculture"
"23-1482-A0001-3","Investigating the Contribution of the Coxiella Cell Wall to Intracellular Pathogenesis",,"Elizabeth Di Russo Case","Veterinary Science",,"87b5cd3f-379f-49dd-b84a-a851fb64c9f7","2/28/2023",,3,"New Funding Increment","5/22/2025","Evelyn Renee Kelley","U.S. Federal Government","Applied Research","   20235.00000000000000000000000",2023-04-24 19:43:17,"National Institute of Allergy and Infectious Diseases/National Institutes of Health/Department of Health and Human Services","National Institute of Allergy and Infectious Diseases/National Institutes of Health/Department of Health and Human Services",,2025-05-22,"2/28/2026","Veterinary Science",371598,"23-1482",371598,,"Active","5/22/2025 08:45:04 AM",,"'May-25","Agriculture"
"23-1487-A0002-0","ReDDS: a Web-based Dashboard Application for ICP, 3-species, and RG ChubSucker Databases",,"Shannon E. Albeke","Wyoming Geographic Information Science Center",,"1a7cb129-b16b-48da-95c2-a9c45cd35d48",,,0,"Original Award",,,"Other State and Local Governmental Entities","Other Sponsored Activity","   54830.33999999999650754034519",,"State of Colorado Department of Natural Resources",,,2023-08-01,"6/30/2026","Wyoming Geographic Information Science Center",54830.34,"23-1487",54830.34,,"Active","11/16/2023 01:42:17 PM",,"'Aug-23","Engineering"
"23-1488-A0001-0","Open Architecture for Nuclear Cost Reduction",,"Tara K. Righetti","College of Law Deans Office",,"a7a61c74-3342-46cd-9c9a-35b754f969ef",,,0,"Original Award",,,"Institutions of Higher Education","Experimental Development","   74907.00000000000000000000000",,"University of Wisconsin, Madison","U.S. Department of Energy",,2022-10-01,"9/30/2023","School of Energy Resources Directors Office",74907,"23-1488",,,"Active","4/24/2023 07:43:37 PM",,"'Oct-22","School of Energy Resources"
"23-1488-A0001-2","Open Architecture for Nuclear Cost Reduction",,"Tara K. Righetti","College of Law Deans Office",,"a7a61c74-3342-46cd-9c9a-35b754f969ef","8/1/2023",,2,"New Funding Increment","8/13/2023","Farrell Jean Rapp","Institutions of Higher Education","Experimental Development","   73031.00000000000000000000000",,"University of Wisconsin, Madison","U.S. Department of Energy",,2023-08-13,"9/30/2024","School of Energy Resources Directors Office",147938,"23-1488",200000,,"Active","8/13/2023 05:06:29 PM",,"'Aug-23","School of Energy Resources"
"23-1488-A0001-5","Open Architecture for Nuclear Cost Reduction",,"Tara K. Righetti","School of Energy Resources Subdivision",,"a7a61c74-3342-46cd-9c9a-35b754f969ef","8/15/2024",,5,"New Funding Increment","8/16/2024","Farrell Jean Rapp","Institutions of Higher Education","Experimental Development","   52062.00000000000000000000000",2023-04-24 19:43:37,"University of Wisconsin, Madison","U.S. Department of Energy",,2024-08-16,"9/30/2025","School of Energy Resources Directors Office",200000,"23-1488",200000,,"Active","8/16/2024 08:14:13 AM",,"'Aug-24","School of Energy Resources"
"23-1489-A0001-0","Historical Elk Migrations of Eastern Greater Yellowstone",,"Matthew Kauffman","Wyoming Coop Unit",,"ce1ed0a1-dae0-4cdd-99db-ef6ea5f88a26","3/24/2023",,0,"Original Award",,,"Non-Profit Organizations","Basic Research","   10000.00000000000000000000000",,"Rocky Mountain Elk Foundation","Rocky Mountain Elk Foundation",,2023-03-24,"3/24/2025","Wyoming Coop Unit",10000,"23-1489",,,"Active","4/24/2023 07:43:40 PM",,"'Mar-23","Agriculture"
"23-1495-A0001-0","Mesoscale Dynamics and Mixed-phase Microphysics in Arctic Cold Air Outbreaks",,"Bart Geerts","Atmospheric Science",,"631b8d50-aa63-43db-967a-2506f766da97","3/28/2023",,0,"Original Award",,,"U.S. Federal Government","Applied Research","  324151.00000000000000000000000",,"National Science Foundation","National Science Foundation",,2023-05-01,"4/30/2026","Atmospheric Science",324151,"23-1495",,,"Active","4/24/2023 07:44:00 PM",,"'May-23","Engineering"
"23-1495-A0001-1","Mesoscale Dynamics and Mixed-phase Microphysics in Arctic Cold Air Outbreaks",,"Bart Geerts","Atmospheric Science",,"631b8d50-aa63-43db-967a-2506f766da97","5/20/2024",,1,"New Funding Increment","2/19/2025","Farrell Jean Rapp","U.S. Federal Government","Applied Research","  221370.00000000000000000000000",,"National Science Foundation","National Science Foundation",,2025-02-19,"4/30/2026","Atmospheric Science",545521,"23-1495",743716,,"Active","2/19/2025 09:15:42 AM",,"'Feb-25","Engineering"
"23-1495-A0001-2","Mesoscale Dynamics and Mixed-phase Microphysics in Arctic Cold Air Outbreaks",,"Bart Geerts","Atmospheric Science",,"631b8d50-aa63-43db-967a-2506f766da97","2/19/2025",,2,"New Funding Increment","2/19/2025","Farrell Jean Rapp","U.S. Federal Government","Applied Research","  198195.00000000000000000000000",2023-04-24 19:44:00,"National Science Foundation","National Science Foundation",,2025-02-19,"4/30/2026","Atmospheric Science",743716,"23-1495",743716,,"Active","2/19/2025 09:37:26 AM",,"'Feb-25","Engineering"
"23-1496-A0001-0","PIPP Phase I: Predicting Emergence in Multidisciplinary Pandemic Tipping-points (PREEMPT)",,"David C. Finnoff","Economics",,"b0270cc5-0a19-4b87-9e4d-a89785a96ef6","12/12/2022",,0,"Original Award",,,"Institutions of Higher Education","Basic Research","   30164.00000000000000000000000",,"University of Tennessee, Knoxville","University of Tennessee, Knoxville",,2022-08-01,"1/31/2024","Economics",30164,"23-1496",,,"Active","4/24/2023 07:44:04 PM",,"'Aug-22","Business"
"23-1497-A0002-0","FY 2023 Radio Community Service Grant",,"Christina Kuzmych","Wyoming Public Media",,"da3e08fe-9fea-4d5d-9ba9-b3eb6d31a51a","9/11/2024",,0,"Original Award",,,"Non-Profit Organizations","Other Sponsored Activity","  365944.00000000000000000000000",,"Corporation for Public Broadcasting",,,2024-10-01,"9/30/2025","Wyoming Public Media",365944,"23-1497",365944,,"Active","9/11/2024 02:14:31 PM",,"'Oct-24","Research & Economic Development"
"23-1499-A0001-0","Collaborative Research: Aerosol Properties and Autoconversion during Cold-Air outbreak Experiment in the Sub-Arctic Region (CAESAR)",,"Jefferson Robert Snider","Atmospheric Science",,"ffe3ce90-a206-4a45-a998-2ba8c1e9c8e0","3/16/2023",,0,"Original Award",,,"U.S. Federal Government","Basic Research","   52666.00000000000000000000000",,"National Science Foundation","National Science Foundation",,2023-05-01,"4/30/2026","Atmospheric Science",52666,"23-1499",,,"Active","4/24/2023 07:44:14 PM",,"'May-23","Engineering"
"23-1499-A0001-2","Collaborative Research: Aerosol Properties and Autoconversion during Cold-Air outbreak Experiment in the Sub-Arctic Region (CAESAR)",,"Jefferson Robert Snider","Atmospheric Science",,"ffe3ce90-a206-4a45-a998-2ba8c1e9c8e0","3/16/2023",,2,"New Funding Increment","6/24/2024","Inna Willis","U.S. Federal Government","Basic Research","   38088.00000000000000000000000",,"National Science Foundation","National Science Foundation",,2024-06-24,"4/30/2026","Atmospheric Science",90754,"23-1499",90754,,"Active","6/24/2024 02:24:04 PM",,"'Jun-24","Engineering"
"23-1499-A0001-3","Collaborative Research: Aerosol Properties and Autoconversion during Cold-Air outbreak Experiment in the Sub-Arctic Region (CAESAR)",,"Jefferson Robert Snider","Atmospheric Science",,"ffe3ce90-a206-4a45-a998-2ba8c1e9c8e0","3/10/2025",,3,"New Funding Increment","3/10/2025","Farrell Jean Rapp","U.S. Federal Government","Basic Research","   15409.00000000000000000000000",2023-04-24 19:44:13,"National Science Foundation","National Science Foundation",,2025-03-10,"4/30/2026","Atmospheric Science",106163,"23-1499",106163,,"Active","3/10/2025 09:38:17 AM",,"'Mar-25","Engineering"
"23-1508-A0001-0","Community Health Assessment Survey",,"Michael D. Dorssom","Wyoming Survey & Analysis Center",,"55a67332-4d62-44e5-bea9-7cf2e515050a","3/6/2023",,0,"Original Award",,,"Institutions of Higher Education","Basic Research","   87769.00000000000000000000000",,"University of Utah","National Cancer Institute/National Institutes of Health/Department of Health and Human Services",,2022-09-01,"4/30/2023","Wyoming Survey & Analysis Center",87769,"23-1508",87769,,"Active","5/2/2023 02:34:29 PM",,"'Sep-22","Research & Economic Development"
"23-1508-A0001-1","Community Health Assessment Survey",,"Michael D. Dorssom","Wyoming Survey & Analysis Center",,"55a67332-4d62-44e5-bea9-7cf2e515050a","3/6/2023",,1,"New Funding Increment","6/23/2023","Ashley Cae Schnell","Institutions of Higher Education","Basic Research","       0.00000000000000000000000",,"University of Utah","National Cancer Institute/National Institutes of Health/Department of Health and Human Services",,2023-06-23,"4/30/2024","Wyoming Survey & Analysis Center",87769,"23-1508",87769,,"Active","6/23/2023 03:03:55 PM",,"'Jun-23","Research & Economic Development"
"23-1508-A0001-2","Community Health Assessment Survey",,"Michael D. Dorssom","Wyoming Survey & Analysis Center",,"55a67332-4d62-44e5-bea9-7cf2e515050a","3/6/2023",,2,"New Funding Increment","3/4/2024","Tashina Lemons","Institutions of Higher Education","Basic Research","    4500.00000000000000000000000",2023-05-02 14:34:27,"University of Utah","National Cancer Institute/National Institutes of Health/Department of Health and Human Services",,2024-03-04,"4/30/2024","Wyoming Survey & Analysis Center",92269,"23-1508",92269,,"In Closeout","3/4/2024 03:38:54 PM",,"'Mar-24","Research & Economic Development"
"23-1509-A0001-0","United Way of Albany County Community Needs Assessment",,"Sandra J. Biller","Wyoming Survey & Analysis Center",,"7c4602ac-8f3a-4849-ae2c-4721cbebbb8e","11/3/2022",,0,"Original Award",,,"Non-Profit Organizations","Other Sponsored Activity","    2849.00000000000000000000000",,"United Way",,,2022-11-15,"2/28/2023","Wyoming Survey & Analysis Center",2849,"23-1509",2849,,"Active","5/3/2023 04:08:28 PM",,"'Nov-22","Research & Economic Development"
"23-1509-A0001-1","United Way of Albany County Community Needs Assessment",,"Sandra J. Biller","Wyoming Survey & Analysis Center",,"7c4602ac-8f3a-4849-ae2c-4721cbebbb8e","11/3/2022",,1,"New Funding Increment","5/3/2023","Farrell Jean Rapp","Non-Profit Organizations","Other Sponsored Activity","   14486.00000000000000000000000",2023-05-03 16:08:28,"United Way",,,2023-05-03,"6/30/2024","Wyoming Survey & Analysis Center",17335,"23-1509",17335,,"In Closeout","5/3/2023 04:16:39 PM",,"'May-23","Research & Economic Development"
"23-1510-A0001-0","Healthy Kids Round Up",,"Ben D Kern","Kinesiology & Health",,"ebe89ef4-4c4f-47e7-9948-df97227031a8","12/15/2021",,0,"Original Award",,,"Non-Profit Organizations","Other Sponsored Activity","   10000.00000000000000000000000",,"American Heart Association",,,2022-01-01,"12/31/2022","Kinesiology & Health",10000,"23-1510",10000,,"Active","5/4/2023 09:07:46 AM",,"'Jan-22","Health Sciences"
"23-1510-A0001-2","Healthy Kids Round Up",,"Ben D Kern","Kinesiology & Health",,"ebe89ef4-4c4f-47e7-9948-df97227031a8","12/15/2021",,2,"New Funding Increment","1/9/2024","Tashina Lemons","Non-Profit Organizations","Other Sponsored Activity","   10000.00000000000000000000000",,"American Heart Association",,,2024-01-09,"6/30/2024","Kinesiology & Health",20000,"23-1510",20000,,"Active","1/9/2024 11:41:01 AM",,"'Jan-24","Health Sciences"
"23-1512-A0001-0","Economic Analysis of Utility Regulatory Delays in Project West",,"David M. Aadland","Economics",,"914dee52-f25f-4840-9968-0dcd337d7caa",,,0,"Original Award",,,"Industry","Applied Research","   35055.00000000000000000000000",,"TC Soda Holdings Inc.",,,2023-03-15,"7/15/2023","COB Centers for Excellence",35055,"23-1512",,,"Active","5/8/2023 08:20:41 AM",,"'Mar-23","Business"
"23-1514-A0001-0","Developing Tools to Mitigate the Impact of Design Errors and Omissions",,"Ahmed Fathy Abdelaty Ahmed","Civil & Architectural Engineering & Construction Management",,"106c0ca0-d68a-45bb-951f-a17ccd3738bc","3/2/2023",,0,"Original Award",,,"Wyoming State Governmental Entities","Applied Research","  133802.00000000000000000000000",,"Wyoming Department of Transportation","Federal Highway Administration/Department of Transportation",,2023-04-19,"4/19/2025","Civil & Architectural Engineering & Construction Management",133802,"23-1514",133802,,"Active","5/10/2023 09:17:45 AM",,"'Apr-23","Engineering"
"23-1514-A0002-0","Developing Tools to Mitigate the Impact of Design Errors and Omissions",,"Ahmed Fathy Abdelaty Ahmed","Civil & Architectural Engineering & Construction Management",,"e6f0aa99-94a5-4df2-b6fb-a9c07c993fa0","3/2/2023",,0,"Original Award",,,"Wyoming State Governmental Entities","Applied Research","   33450.00000000000000000000000",,"Wyoming Department of Transportation",,,2023-04-19,"4/19/2025","Civil & Architectural Engineering & Construction Management",33450,"23-1514",33450,,"Active","5/17/2023 08:57:28 AM",,"'Apr-23","Engineering"
"23-1516-A0001-0","Wyoming Health Equity Network",,"Kirbie Bryant Smalley","VP for Research & Economic Development Office",,"9a405c88-64cf-4484-9511-23e57d0938b6","1/9/2023",,0,"Original Award",,,"Non-Profit Organizations","Basic Research","  375000.00000000000000000000000",,"Direct Relief","Direct Relief",,2023-01-01,"12/31/2024","Rural Health",375000,"23-1516",375000,,"Active","5/11/2023 03:20:28 PM",,"'Jan-23","Health Sciences"
"23-1520-A0001-0","Continuous Ethane Monitoring for Source Apportionment",,"Dana Caulton","Atmospheric Science",,"2bf34227-e61a-4113-adab-dc351776f540","5/2/2023",,0,"Original Award",,,"U.S. Federal Government","Basic Research","  100000.00000000000000000000000",,"National Aeronautics and Space Administration",,,2023-05-01,"4/30/2026","Atmospheric Science",100000,"23-1520",297572,,"Active","5/15/2023 04:39:14 PM",,"'May-23","Engineering"
"23-1520-A0001-1","Continuous Ethane Monitoring for Source Apportionment",,"Dana Caulton","Atmospheric Science",,"2bf34227-e61a-4113-adab-dc351776f540","12/7/2023",,1,"New Funding Increment","9/23/2024","Farrell Jean Rapp","U.S. Federal Government","Basic Research","   27960.00000000000000000000000",,"National Aeronautics and Space Administration",,,2024-09-23,"4/30/2026","Atmospheric Science",127960,"23-1520",297572,,"Active","9/23/2024 11:07:00 AM",,"'Sep-24","Engineering"
"23-1520-A0001-2","Continuous Ethane Monitoring for Source Apportionment",,"Dana Caulton","Atmospheric Science",,"2bf34227-e61a-4113-adab-dc351776f540","9/23/2024",,2,"New Funding Increment","9/23/2024","Farrell Jean Rapp","U.S. Federal Government","Basic Research","   60000.00000000000000000000000",2023-05-15 16:39:14,"National Aeronautics and Space Administration",,,2024-09-23,"4/30/2026","Atmospheric Science",187960,"23-1520",297572,,"Active","9/23/2024 11:12:08 AM",,"'Sep-24","Engineering"
"23-1521-A0001-0","Alabama COSSAP",,"Laurel Allison Wimbish","Wyoming Survey & Analysis Center",,"5c00f299-05cf-4947-aaf3-da247ac99970","3/21/2023",,0,"Original Award",,,"Other State and Local Governmental Entities","Other Sponsored Activity","  200000.00000000000000000000000",,"Alabama Bureau of Pardons and Paroles","Department of Justice",,2023-05-10,"5/9/2025","Wyoming Survey & Analysis Center",200000,"23-1521",200000,,"Active","5/17/2023 10:01:23 AM",,"'May-23","Research & Economic Development"
"23-1523-A0001-0","Translating Novel Peripheral Nerve Allograft Technologies Toward Clinical Use",,"Jared S. Bushman","School of Pharmacy",,"8fc176bc-ee91-4666-bf26-33768d52a2c4",,,0,"Original Award",,,"Institutions of Higher Education","Basic Research","   40000.00000000000000000000000",,"University of Texas, Austin","National Institutes of Health/Department of Health and Human Services",,2023-04-01,"6/30/2023","Pharmacy",40000,"23-1523",,,"Active","5/18/2023 04:25:52 PM",,"'Apr-23","Health Sciences"
"23-1523-A0001-2","Translating Novel Peripheral Nerve Allograft Technologies Toward Clinical Use",,"Jared S. Bushman","School of Pharmacy",,"8fc176bc-ee91-4666-bf26-33768d52a2c4","7/19/2023",,2,"New Funding Increment","7/11/2024","Inna Willis","Institutions of Higher Education","Basic Research","  237000.00000000000000000000000",2023-05-18 16:25:51,"University of Texas, Austin","National Institutes of Health/Department of Health and Human Services",,2024-07-11,"4/30/2027","Pharmacy",427191,"23-1523",427191,,"Active","7/11/2024 04:20:38 PM",,"'Jul-24","Health Sciences"
"23-1525-A0001-0","The Impact of Victim Physical Maturity and Judicial Instruction on Jury Decision Making in Child Sexual Abuse Cases",,"Kayla A Burd","Psychology",,"dc2d5276-0fe5-4b2b-be28-4f04ae703ab3","3/20/2023",,0,"Original Award",,,"Non-Profit Organizations","Basic Research","    1500.00000000000000000000000",,"Psi Chi International Honor Society in Psychology",,,2023-03-27,"3/30/2024","Psychology",1500,"23-1525",1500,,"Active","5/22/2023 03:46:51 PM",,"'Mar-23","Arts & Sciences"
"23-1526-A0001-0","Wyoming IDeA Networks for Biomedical Research Excellence",,"Robert Scott Seville","Zoology & Physiology",,"3b021f8e-3b60-47bc-9f8d-c9edc3803fc4","5/21/2023",,0,"Original Award",,,"U.S. Federal Government","Basic Research","13738934.00000000000000000000000",,"National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",,2020-05-01,"4/30/2025","INBRE Program",13738934,"23-1526",17156980,,"Active","6/6/2023 11:06:54 AM",,"'May-20","Research & Economic Development"
"23-1526-A0001-2","Wyoming IDeA Networks for Biomedical Research Excellence",,"Robert Scott Seville","Zoology & Physiology",,"3b021f8e-3b60-47bc-9f8d-c9edc3803fc4","5/21/2023",,2,"New Funding Increment","5/27/2024","Kristi Hargis Stockdale","U.S. Federal Government","Basic Research"," 4736021.00000000000000000000000",2023-06-06 11:06:53,"National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",,2024-05-27,"4/30/2025","INBRE Program",18474955,"23-1526",18474955,,"Active","5/27/2024 11:43:04 AM",,"'May-24","Research & Economic Development"
"23-1526-A0004-0","Wyoming IDeA Networks for Biomedical Research Excellence",,"Robert Scott Seville","Zoology & Physiology",,"7707ab0d-b1f3-4d6b-89e5-0cbf748e0ab0","5/9/2024",,0,"Original Award",,,"U.S. Federal Government","Basic Research"," 3418046.00000000000000000000000",,"National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",,2024-05-01,"4/30/2025","INBRE Program",3418046,"23-1526",3418046,,"Active","6/3/2024 08:02:46 PM",,"'May-24","Research & Economic Development"
"23-1529-A0001-0","Specialized Caseloads' Sanctions and Invectives Pilot Program (SCSIPP) Grant Evaluation",,"Muneyuki Kato","Wyoming Survey & Analysis Center",,"7717867a-87c8-4518-a86f-e713934a3dc6","4/27/2023",,0,"Original Award",,,"Other State and Local Governmental Entities","Other Sponsored Activity","   20102.40000000000145519152284",,"South Carolina Probation, Parole and Pardon Services","Bureau of Justice Statistics/Department of Justice",,2023-04-19,"12/30/2026","Wyoming Survey & Analysis Center",20102.4,"23-1529",20102.4,,"Active","6/8/2023 07:59:41 AM",,"'Apr-23","Research & Economic Development"
"23-1529-A0001-2","Specialized Caseloads' Sanctions and Invectives Pilot Program (SCSIPP) Grant Evaluation",,"Muneyuki Kato","Wyoming Survey & Analysis Center",,"7717867a-87c8-4518-a86f-e713934a3dc6","8/26/2024",,2,"New Funding Increment","8/26/2024","Kristi Hargis Stockdale","Other State and Local Governmental Entities","Other Sponsored Activity","   33503.59999999999854480847716",2023-06-08 07:59:40,"South Carolina Probation, Parole and Pardon Services","Bureau of Justice Statistics/Department of Justice",,2024-08-26,"12/30/2026","Wyoming Survey & Analysis Center",53606,"23-1529",53606,,"Active","8/26/2024 02:32:47 PM",,"'Aug-24","Research & Economic Development"
"23-1532-A0001-0","Wyoming Translational Research Accelerator",,"Parag Chitnis","VP for Research & Economic Development Office",,"39d9eb8c-e248-4eb7-ada3-c514e19c3feb","12/13/2023",,0,"Original Award",,,"U.S. Federal Government","Basic Research"," 6000000.00000000000000000000000",,"National Science Foundation","National Science Foundation",,2024-02-01,"1/31/2028","Technology Transfer Office",6000000,"23-1532",6000000,,"Active","12/13/2023 01:55:21 PM",,"'Feb-24","Research & Economic Development"
"23-1532-A0001-3","Wyoming Translational Research Accelerator",,"Parag Chitnis","VP for Research & Economic Development Office",,"39d9eb8c-e248-4eb7-ada3-c514e19c3feb","7/17/2024",,3,"New Funding Increment","7/17/2024","Farrell Jean Rapp","U.S. Federal Government","Other Sponsored Activity","  261590.00000000000000000000000",2023-12-13 13:55:21,"National Science Foundation","National Science Foundation",,2024-07-17,"1/31/2028","Technology Transfer Office",6261590,"23-1532",6261590,,"Active","7/17/2024 03:56:44 PM",,"'Jul-24","Research & Economic Development"
"23-1533-A0001-0","Wyoming SBDC Network APEX",,"Jill K Kline","Small Business Development Center",,"b3192350-fd7b-43ce-95a4-5814e6f24599",,,0,"Original Award",,,"U.S. Federal Government","Other Sponsored Activity","  115317.64999999999417923390865",,"Office of Naval Research/Department of Defense","Department of Defense",,2023-09-01,"3/31/2024","Small Business Development Center",115317.65,"23-1533",147757.56,,"Active","9/14/2023 12:27:00 PM",,"'Sep-23","Research & Economic Development"
"23-1533-A0003-0","Wyoming SBDC Network APEX",,"Jill K Kline","Small Business Development Center",,"ff105038-9802-4f1c-9bd9-ac4fa8305c70","1/24/2024",,0,"Original Award",,,"U.S. Federal Government","Other Sponsored Activity","  267525.00000000000000000000000",,"Office of Naval Research/Department of Defense","Office of Naval Research/Department of Defense",,2024-04-01,"3/31/2024","Small Business Development Center",267525,"23-1533",267525,,"Active","3/27/2024 12:28:33 PM",,"'Apr-24","Research & Economic Development"
"23-1533-A0003-4","Wyoming SBDC Network APEX",,"Jill K Kline","Small Business Development Center",,"ff105038-9802-4f1c-9bd9-ac4fa8305c70","1/24/2024",,4,"New Funding Increment","7/15/2024","Kristi Hargis Stockdale","U.S. Federal Government","Other Sponsored Activity","  114709.14999999999417923390865",,"Office of Naval Research/Department of Defense","Office of Naval Research/Department of Defense",,2024-07-15,"3/31/2025","Small Business Development Center",114709.15,"23-1533",258190,,"Active","7/15/2024 12:57:38 PM",,"'Jul-24","Research & Economic Development"
"23-1533-A0003-5","Wyoming SBDC Network APEX",,"Jill K Kline","Small Business Development Center",,"ff105038-9802-4f1c-9bd9-ac4fa8305c70","1/24/2024",,5,"New Funding Increment","10/31/2024","Kristi Hargis Stockdale","U.S. Federal Government","Other Sponsored Activity","  143480.85000000000582076609135",2024-03-27 12:28:32,"Office of Naval Research/Department of Defense","Office of Naval Research/Department of Defense",,2024-10-31,"3/31/2025","Small Business Development Center",258190,"23-1533",258190,,"Active","10/31/2024 02:50:07 PM",,"'Oct-24","Research & Economic Development"
"23-1534-A0001-0","Cybersecurity For Small Business Pilot Program",,"Jill K Kline","Small Business Development Center",,"a1ecf944-9a25-4c65-a2fe-0718d5dce4f7","8/15/2023",,0,"Original Award",,,"U.S. Federal Government","Basic Research"," 1000000.00000000000000000000000",,"Small Business Administration","Small Business Administration",,2023-08-31,"8/30/2025","VP for Research & Economic Development Office",1000000,"23-1534",1000000,,"Active","8/16/2023 05:27:21 PM",,"'Aug-23","Research & Economic Development"
"23-1541-A0001-0","University of Wisconsin Sub-Award (Ricke)",,"Dana Kristen Dittoe","Animal Science",,"d5f9aeb0-884c-4276-8666-a33e10541e89","12/19/2023",,0,"Original Award",,,"Institutions of Higher Education","Applied Research","    2463.00000000000000000000000",,"University of Wisconsin, Madison","CIFT",,2023-07-01,"6/30/2024","Animal Science",2463,"23-1541",2463,,"Active","1/10/2024 01:02:19 PM",,"'Jul-23","Agriculture"
"23-1553-A0001-0","Bureau of Land Management: Investigating the Parasitism of bumble bees",,"Lusha Marguerite Tronstad","Wyo Natural Diversity Database",,"4d584ff4-47e9-4132-8891-49fab8b4befb","7/8/2023",,0,"Original Award",,,"U.S. Federal Government","Basic Research","   20000.00000000000000000000000",,"Bureau of Land Management/Department of the Interior","Bureau of Land Management/Department of the Interior",,2023-10-01,"9/30/2025","Wyo Natural Diversity Database",20000,"23-1553",20000,,"Active","7/12/2023 11:36:29 AM",,"'Oct-23","Research & Economic Development"
"23-1555-A0001-0","The Status and distribution of the Narrow-footed Hygrotus Diving Beetle (Hygrotus diversipies) in Wyoming",,"Lusha Marguerite Tronstad","Wyo Natural Diversity Database",,"4145dd93-f8d0-40ba-a8f2-317183ca0946","7/10/2023",,0,"Original Award",,,"U.S. Federal Government","Applied Research","   60000.00000000000000000000000",,"Bureau of Land Management/Department of the Interior","Bureau of Land Management/Department of the Interior",,2023-10-01,"9/30/2025","Wyo Natural Diversity Database",60000,"23-1555",60000,,"Active","9/4/2023 01:05:31 PM",,"'Oct-23","Research & Economic Development"
